PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40131263,Entering a new era of tumor-infiltrating lymphocyte cell therapy innovation.,2024-12-28,"Komanduri, Krishna V, Schoenfeld, Adam J, Ramsingh, Giridharan, Burga, Rachel A, Jagasia, Madan H","UCSF Helen Diller Family Comprehensive Cancer Center, Obsidian Therapeutics, USA.",
40129918,Case Report: Metastatic succinate dehydrogenase-deficient gastrointestinal stromal tumor treated with chemotherapy and immune checkpoint inhibitor.,2025-03-10,"Blay, Jean-Yves",Department of Medical Oncology,
40129452,"Metastatic Gestational Trophoblastic Neoplasia Leading to Acute Respiratory Failure and Death: A Case Report - About a Particularly Challenging Management in the Intensive Care Unit, and Exploring the Potential of Pembrolizumab in Treating Frail, Pretreated Gestational Trophoblastic Neoplasia.",2025-02-13,"Meyers, Michel, Awada, Ahmad, Fastrez, Maxime, Polastro, Laura","Department of Gynecology, Department of Medical Oncology",
40129265,Sex Differences in Outcomes of Chimeric Antigen Receptor (CAR) T-Cell Therapy.,Unknown,"Yeo, Yong Hao, Kin, Hermon Wong Kha","Universiti Malaysia Sabah, Corewell Health",
40128557,Characterization of pritumumab in murine models and primate safety study.,2025-03-25,"Gangangari, Kishore, Pillarsetty, Nagavarakishore",USA.,
40128305,Immunologic correlates in a CIC::DUX4 fusion-positive sarcoma responsive to dual immune checkpoint blockade.,2025-03-25,"Babatunde, Olayode O, Anthonescu, Cristina, Bradic, Martina, O'Malley, Bernard, Linkov, Irina, Bartlett, Edmund, Momtaz, Parisa, Alektiar, Kaled","Medical Oncology/Hematology Fellowship Program, Department of Radiation Oncology, Marie-Josée and Henry R. Kravis Center for Molecular Oncology, USA.",
40128277,Expression of PSMD2 gene in hepatocellular carcinoma and its correlation with immune checkpoints and prognosis.,2025-03-24,"Ma, Zi-Min",Weiluo Microbial Pathogens Monitoring Technology Co.,
40127471,Harnessing live vectors for cancer vaccines: Advancing therapeutic immunotherapy.,2025-03-24,"DeMaria, Peter J",NEXT Oncology,
40127395,Real World Outcomes for Young Adult Patients Receiving CD19 CAR T-cell Therapy.,2025-03-24,"Hall, Erin M",Oncology,
40126992,Analysis of Human T Cell Activity in an Allogeneic Co-Culture Setting of Pre-Treated Tumor Cells.,2025-03-07,"Donaubauer, Anna-Jasmina, Schäfer, Anna, Hundsdorfer, Simon, Fietkau, Rainer, Gaipl, Udo S, Jost, Tina","Department of Radiation Oncology, Comprehensive Cancer Center Erlangen-EMN; Department of Radiation Oncology",
40126879,Emerging molecular testing paradigms in non-small cell lung cancer management-current perspectives and recommendations.,2025-03-24,"Penault-Llorca, Frédérique",U1240 Imagerie Moléculaire et Stratégies Théranostiques,
40125987,Monoclonal antibodies as adjuvant therapies for resected melanoma.,2025-03-24,"Garcia, Julia R",Department of Medical Oncology,
40124588,Associations of COVID-19 vaccination with risks for post-infectious cardiovascular complications: an international cohort study in cancer patients with SARS-CoV-2 infection.,2025-03-06,"Griffiths, Elizabeth A, Segal, Brahm H, Hwang, Clara, Balanchivadze, Nino, Puc, Matthew, Mavromatis, Blanche","Roswell Park Comprehensive Cancer Center, Division of Hematology/Oncology, USA.",
40124433,Treatment patterns and outcomes in hepatocellular carcinoma: Real-world experience in Greece from the retrospective OPAL study.,2025-02-28,"Tsaliki, Evdokia",AstraZeneca plc (Evdokia Tsaliki).,
40124386,Intratumoral administration of <i>Hibiscus sabdariffa-</i>derived anthocyanins exerts potent antitumor effects in murine cancer models.,2025-03-07,"Gómez-Leyva, Juan Florencio, Regalado-Noyola, Yanelli Jaquelinne, Rodríguez-Leon, Silvia Monserrat, Flores-Hernández, Flor Yohana","Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco, Jalisco, TecNM-Instituto Tecnológico de Tlajomulco",
40124377,"Association of type 2 diabetes, hypertension, and hyperlipidemia with immune-related adverse events in patients undergoing immune checkpoint inhibitors therapy.",2025-03-07,"Huang, Rendong",Hangzhou Linan Guorui Health Industry Investment Co.,
40122885,Bemcentinib as monotherapy and in combination with low-dose cytarabine in acute myeloid leukemia patients unfit for intensive chemotherapy: a phase 1b/2a trial.,2025-03-23,"Mattei, Daniele, Micklem, David, H Nilsson, Linn, Madeleine, Noëlly, McCracken, Nigel, Oliva, Cristina, Gorcea-Carson, Claudia","BerGenBio ASA, BerGenBio Ltd, Azienda Sanitaria Ospedaliera (ASO) Santa Croce e Carle",
40122794,Distinct immune responses to proton and photon radiotherapy: implications for anti-PD-L1 combination therapy in colorectal cancer.,2025-03-23,"Burckel, Hélène, Nicol, Anaïs, Mura, Carole, Bou-Gharios, Jolie, Froidurot, Lisa, Morgand, Véronique, Laurent, Pierre-Antoine, Noël, Georges, Mirjolet, Céline","Paul Strauss Comprehensive, X-Rain: Research Unit in Radiotherapy Combined with Immunotherapies and Nanoparticles",
